word,pos_tag,cluster
/GENESIS,FW,1
/CAPITLO,NNC,3
/SINUGDAN,VBTS,4
/GIBUHAT,FW,1
/DIOS,FW,1
/LANGIT,NNC,3
/YUTA,NNC,3
/YUTA,FW,1
/AWAAW,FW,1
/WALAY,FW,1
/SULOD,FW,1
/KANGITNGIT,FW,1
/DIHA,FW,1
/IBABAW,JJD,0
nawong,VBTS/CCP,4
kahiladman,JJD/CCP,0
/ESPIRITU,NNC,3
/DIOS,FW,1
/NAGLIHOK,VBTS,4
/IBABAW,JJD,0
nawong,VBTS/CCP,4
/TUBIG,NNC,3
/MIINGON,FW,1
/DIOS,FW,1
/MAHIMO,FW,1
/KAHAYAG,FW,1
/DINA,FW,1
/KAHAYAG,NNC,3
/NAKITA,VBTS,4
/DIOS,FW,1
/KAHAYAG,JJD,0
/NGA,RBI,2
/KINI,FW,1
/MAAYO,FW,1
/GILAIN,FW,1
/DIOS,FW,1
/KAHAYAG,FW,1
/GIKAN,FW,1
/KANGITNGIT,NNC,3
/GIHINGANLAN,VBTR,0
/DIOS,FW,1
/KAHAYAG,JJD,0
/NGA,RBI,2
adlaw,VBAF/CCP,0
/KANGITNGIT,RBD,0
/GIHINGANLAN,RBD,0
/NIYA,PRS,0
/NGA,RBI,2
/GABII,FW,1
/DIHAY,FW,1
/KAHAPONON,FW,1
/DIHAY,FW,1
/KABUNTAGON,FW,1
/KA,PRS,0
/ADLAW,NNC,3
/MIINGON,FW,1
/DIOS,FW,1
/MAHIMO,JJD,0
/KA,PRS,0
/HAWAN,RBW,0
taliwala,VBTS/VBOF,4
/TUBIG,NNC,3
/PAGABAHINON,NNC,3
/NIINI,FW,1
/TUBIG,NNC,3
/GIKAN,RBW,0
/TUBIG,NNC,3
/GIBUHAT,VBTS,4
/DIOS,FW,1
/HAWAN,FW,1
/GILAIN,FW,1
/TUBIG,NNC,3
/NGA,RBI,2
/DIHA,FW,1
/ILALUM,FW,1
/HAWAN,FW,1
/GIKAN,FW,1
/TUBIG,NNC,3
/NGA,RBI,2
diha,RBF/CCP,0
/IBABAW,JJD,0
/HAWAN,NNC,3
/NAHIMO,VBTS,4
/KINI,FW,1
/GIHINGANLAN,VBTR,0
/DIOS,FW,1
/HAWAN,FW,1
/NGA,RBI,2
/LANGIT,NNC,3
/DIHAY,NNC,3
/KAHAPONON,NNC,3
/DIHAY,NNC,3
/KABUNTAGON,NNC,3
/ADLAW,NNC,3
/NGA,RBI,2
/IKADUHA,CCB,0
/MIINGON,JJD,0
/DIOS,FW,1
/MATINGUB,FW,1
/TUBIG,NNC,3
/NGA,RBI,2
/ANAA,RBR,0
/ILALUM,NNC,3
/LANGIT,NNC,3
/NGADTO,NNC,3
/KA,PRS,0
/DAPIT,FW,1
/TUMUNGHA,FW,1
/YUTA,FW,1
/NGA,RBI,2
/MAMALA,VBW,0
/NAHIMO,VBTS,4
/KINI,FW,1
/MAMALA,VBW,0
/NGA,RBI,2
/DAPIT,FW,1
/GIHINGANLAN,FW,1
/DIOS,FW,1
/NGA,RBI,2
yuta,PRO/CCP,0
/KATILINGBAN,NNC,3
/TUBIG,NNC,3
iyang,VBOF/CCP,0
/GIHINGANLAN,RBD,0
/NGA,RBI,2
/DAGAT,NNC,3
/NAKITA,VBTS,4
/DIOS,RBD,0
/NGA,RBI,2
/KINI,FW,1
/MAAYO,JJD,0
/MIINGON,FW,1
/DIOS,FW,1
/MAGPATUROK,FW,1
/YUTA,FW,1
/BALILI,FW,1
/TALAMNON,FW,1
/NGA,RBI,2
/MAGAHATAG,VBW,0
/BINHI,NNC,3
/HIMUNGA,NNC,3
/NGA,RBI,2
/KAHOY,JJD,0
/NGA,RBI,2
/MAGAHATAG,VBW,0
/BUNGA,JJD,0
/INGON,VBOF,0
ilang,PRQ/CCP,0
matang,NNC/CCP,3
/DIIN,NNC,3
/ANAA,RBR,0
/KANIYA,PRSP,0
iyang,NNC/CCP,3
/BINHI,NNC,3
/IBABAW,JJD,0
/YUTA,NNC,3
/NAHIMO,VBTS,4
/KINI,FW,1
/YUTA,FW,1
/NAGPATUROK,VBTS,4
/BALILI,FW,1
/TALAMNON,FW,1
/NGA,RBI,2
/NAGAHATAG,VBTS,4
/BINHI,NNC,3
/INGON,JJD,0
ilang,PRQ/CCP,0
matang,NNC/CCP,3
/KAHOY,JJD,0
/NGA,RBI,2
/NAGAHATAG,VBTS,4
/BUNGA,JJD,0
/NGA,RBI,2
/MAOY,RBR,0
/BINHI,NNC,3
/NIINI,FW,1
/INGON,FW,1
ilang,PRQ/CCP,0
matang,NNC/CCP,3
/NAKITA,VBTS,4
/DIOS,CCT,0
/NGA,RBI,2
/KINI,FW,1
/MAAYO,JJD,0
/DIHAY,FW,1
/KAHAPONON,FW,1
/DIHAY,FW,1
/KABUNTAGON,FW,1
/ADLAW,FW,1
/NGA,RBI,2
/IKATOLO,JJN,0
/HIMOA,FW,1
/NGA,RBI,2
/KAHAYAG,JJD,0
/HAWAN,NNC,3
/LANGIT,NNC,3
/ARON,FW,1
/PAGHATAG,VBW,0
kahayag,PRI/CCP,0
/IBABAW,JJD,0
/YUTA,NNC,3
/NAHIMO,VBTS,4
/KINI,FW,1
/GIBUHAT,VBTS,4
/DIOS,FW,1
/DURUHA,FW,1
/KA,PRS,0
dagkung,VBAF/CCP,0
/KAHAYAG,RBD,0
/LABING,JJN,0
dakung,NNC/CCP,3
/KAHAYAG,JJD,0
/PAGHARI,NNC,3
/ADLAW,NNC,3
/LABING,JJN,0
/DIYUTAY,FW,1
/NGA,RBI,2
/KAHAYAG,JJD,0
/PAGHARI,VBW,0
/GABII,FW,1
/GIBUHAT,FW,1
/USAB,FW,1
/NIYA,PRS,0
/BITOON,NNC,3
gibutang,VBTS/CCP,4
/DIOS,FW,1
/HAWAN,FW,1
/LANGIT,NNC,3
/ARON,RBD,0
/MAGAIWAG,VBW,0
/IBABAW,JJD,0
/YUTA,NNC,3
/DIHAY,FW,1
/KAHAPONON,FW,1
/DIHAY,FW,1
/KABUNTAGON,FW,1
/ADLAW,FW,1
/NGA,RBI,2
/IKAUPAT,JJN,0
/MIINGON,FW,1
/DIOS,FW,1
dumagsang,VBTRVBAF/CCP,0
/TUBIG,NNC,3
/DUOT,FW,1
/BINUHAT,FW,1
/NGA,RBI,2
/BUHI,RBM,0
/MANGLUPAD,VBW,0
/LANGGAM,NNC,3
/IBABAW,JJD,0
/YUTA,FW,1
/DIHA,FW,1
/HAWAN,FW,1
/LANGIT,NNC,3
/GIBUHAT,VBTS,4
/DIOS,FW,1
/DAGKUNG,FW,1
/MANANAP,FW,1
tanang,RBD/CCP,0
/BINUHAT,VBOF,0
/NGA,RBI,2
/BUHI,RBM,0
/NGA,RBI,2
/NAGALIHOK,VBTR,0
/NGA,RBI,2
/MITUNGHA,JJD,0
/TUBIG,NNC,3
/INGON,CCB,0
ilang,PRQ/CCP,0
matang,NNC/CCP,3
/TAGSATAGSA,JJD,0
/KA,PRS,0
/LANGGAM,NNC,3
/NGA,RBI,2
/PAKAN,RBD,0
/INGON,RBD,0
iyang,PRQ/CCP,0
matang,NNC/CCP,3
/NAKITA,VBTS,4
/DIOS,CCT,0
/NGA,RBI,2
/KINI,FW,1
/MAAYO,JJD,0
/GIPANALANGINAN,VBTR,0
/DIOS,FW,1
/NGA,RBI,2
/NAGAINGON,VBTS,4
/SUMANAY,FW,1
/DUMAGHAN,FW,1
/PUNON,FW,1
/NINYO,PRP,0
/TUBIG,NNC,3
/DAGAT,NNC,3
/PADAGHANON,NNC,3
/LANGGAM,NNC,3
/YUTA,NNC,3
/DIHAY,FW,1
/KAHAPONON,FW,1
/DIHAY,FW,1
/KABUNTAGON,FW,1
/ADLAW,FW,1
/NGA,RBI,2
/IKALIMA,JJN,0
