word,pos_tag,cluster
/PUTANGINA,VBTR,4
/GETS,FW,0
/PARTNERSHIP,FW,0
/MATULOG,VBW,0
/NAGUGUTOM,VBTR,4
/PUNYETA,NNC,1
/PUNYETA,NNC,1
/PARA,CCT,0
/KANINO,PRQ,0
/ULOL,RBR,0
/MANIGAS,VBW,0
/KA,PRS,3
putangina,VBTR/VBAF,4
/DI,RBF,0
/SAPAT,JJD,2
/PAKYU,FW,0
/PAKYU,FW,0
/SINABIHAN,VBTS,0
/BOBO,FW,0
/PLAYER,FW,0
/NAMEN,FW,0
/EARLY,FW,0
/GAME,FW,0
/KUPAL,NNC,1
/BOBO,JJD,2
/PUMANA,VBAF,0
/BWISET,FW,0
/AYOKO,NNC,1
/PUNYETA,NNC,1
/BWISET,FW,0
/KA,PRS,3
/MALUNGKOT,JJD,2
/NGA,RBI,0
/TAPOS,RBW,0
/BOBO,JJD,2
/PA,RBI,0
/PERFECT,FW,0
/COMBINATION,FW,0
/KA,PRS,3
/BEH,NNCA,0
/DI,RBF,0
/KAMI,PRP,0
/TALO,NNC,1
/NI,DTP,0
/LM,NNCA,0
/PUCHA,NNC,1
/MOVE,FW,0
/ON,FW,0
/TANGA,FW,0
/AWRA,FW,0
/PERO,CCT,0
ilang,PRQ/CCP,0
/BEAN,FW,0
/MAMAKAAWA,FW,0
/NANAMAN,FW,0
/ZEBBY,FW,0
/EXAM,FW,0
/MAJOR,FW,0
/PUCHA,NNC,1
/TANGA,JJD,2
/WALA,VBN,0
akong,PRS/CCP,3
/LOAD,FW,0
/NAHIHILO,VBTR,4
/PUNYETA,NNC,1
/SHAN,FW,0
/ZAMORO,FW,0
/MABANGO,FW,0
/MABAIT,JJD,2
/TARANTADO,NNC,1
/MAHILIG,JJD,2
/MAGBASA,VBAF,0
/TANGA,JJD,2
/NI,DTP,0
/PIA,FW,0
/MAMAMATAY,VBTF,0
/KUPAL,JJD,2
/DAMI,NNC,1
/KILL,FW,0
/DR,FW,0
/HIRAP,JJD,2
/KUMAIN,VBAF,0
/HUHU,FW,0
/BWISET,FW,0
/WISDOM,FW,0
/TOOTH,FW,0
/TANGINA,RBW,0
/LALAMIG,VBTF,0
/HINDI,RBF,0
/GUMAWA,VBAF,0
/KA,PRS,3
/PA,RBI,0
/MEMORIES,FW,0
/BAGO,RBW,0
/KA,PRS,3
/UMALIS,VBAF,0
/TANGA,JJD,2
/AJ,FW,0
/IBBARA,FW,0
/PAKYU,FW,0
/AGAD,RBW,0
/BUNGAD,NNC,1
/TARANTADO,JJD,2
/JHELD,FW,0
/AT,CCA,0
/AJ,NNC,1
/TANGINA,JJCC,0
niyong,NNC/CCP,1
/ULOL,JJD,2
/PALIBHASA,NNC,1
/MANOK,JJD,2
/ALAM,VBS,0
nyong,PRO/CCP,0
/ALAGAAN,VBOF,0
/SALBAHE,FW,0
/ASO,NNC,1
/TAGAL,JJD,2
/MAPUNO,VBW,0
/JEEP,FW,0
/PUNYETA,FW,0
/HULAS,FW,0
/PAGKATAO,NNC,1
/DESERVE,NNC,1
/YANG,PRO,0
magkalagnat,JJD/CCA,2
/MASAKIT,JJD,2
/LALAMUNAN,NNC,1
/AT,CCA,0
/SINISIPON,FW,0
/PAKYU,FW,0
/HINDI,RBF,0
/NGA,RBI,0
/NAGKAKANIN,VBTR,4
/PURO,RBT,0
/CANDY,FW,0
/PINAGKAKAIN,VBRF,0
/PUTA,NNC,1
/NAGPAPAPANSIN,VBTR,4
/PARIN,NNC,1
/PALA,NNC,1
asong,JJD/CCP,2
/ULOL,NNC,1
/DABID,NNC,1
/PUTA,NNC,1
/NAKAILANG,VBTS,0
/HAMPAS,NNC,1
/ATE,FW,0
/BWISET,FW,0
/NANAMAN,FW,0
/KABILANG,CCB,0
/BARANGGAY,NNC,1
/TANGINA,JJCC,0
sinabihang,JJD/CCP,2
/PANGET,FW,0
/PERO,CCT,0
/IN,FW,0
/A,FW,0
/SOSYAL,JJD,2
/WAY,FW,0
/TANGINA,JJD,2
bang,RBI/CCP,0
/AKIN,PRSP,0
/KA,PRS,3
/KUPAL,JJD,2
/NITO,PRO,0
/HUY,FW,0
/PASABI,FW,0
/UNFOLLOW,FW,0
/TARANTADO,NNC,1
/TARANTADO,JJD,2
/KA,PRS,3
/CY,NNCA,0
/BWISET,FW,0
/NANDON,FW,0
/MANYAK,FW,0
/LALAKI,NNC,1
/NAKAKATAKOT,RBD,0
/HIRAP,JJD,2
/MAKIPAG,VBW,0
/UNAHAN,CDB,0
/SNAZZYMNLA,FW,0
/PUCHA,NNC,1
/ULOL,RBR,0
/ULOL,NNC,1
/SAYO,PRSP,0
/PUTA,NNC,1
panandaliang,JJD/CCP,2
/SAYA,NNC,1
/PROMISE,FW,0
/NI,DTP,0
/MAAM,FW,0
/PAKYU,FW,0
/KAKAINIS,VBTF,0
/KA,PRS,3
