<<<<<<< HEAD
Language,Sentence,POS,Censored Sentence
=======
tagalog,ako ay isang makabayan,|AKO|PRS |AY|LM isang|PRI|CCP |MAKABAYAN|JJD
cebuano,bisaya man ako dong,bisaya man ako dong
cebuano,bisaya man ko dong,|BISAYA|CCT |MAN|RBI |KO|PRS |DONG|FW
tagalog,bisaya man ka day,|BISAYA|CCT |MAN|RBI |KA|PRS |DAY|NNC
tagalog,"python -u ""c:\Users\Jeo Abarre\OneDrive\Documents\TAKLUBAN-FILIPINO-NATIVE-LANGUAGE-PROFANE-DETECTION\TAKLUBANver.py""","|PYTHON|FW |-U|FW |""C:\USERS\JEO|FW |ABARRE\ONEDRIVE\DOCUMENTS\TAKLUBAN-FILIPINO-NATIVE-LANGUAGE-PROFANE-DETECTION\TAKLUBANVER.PY""|FW"
cebuano,bisaya man ko dong,|BISAYA|CCT |MAN|RBI |KO|PRS |DONG|FW
<<<<<<< HEAD
bikol,magayunon na maray,|MAGAYUNON|VBAF |NA|RBI |MARAY|NNC,magayunon ** maray
bikol,patalon ka talagang maray,|PATALON|RBD |KA|PRS talagang|RBT|CCP |MARAY|NNC,******* ** ******** maray
tagalog,bopols ka talaga,|BOPOLS|FW |KA|PRS |TALAGA|RBT,bopols ** ******
bikol,garu ka gamadya,|GARU|FW |KA|PRS |GAMADYA|VBOF,garu ** gamadya
tagalog,nakakainis ang mga nangyayare,|NAKAKAINIS|VBTR |ANG|DTC |MGA|DTCP |NANGYAYARE|NNC,nakakainis ang *** nangyayare
tagalog,mali mali mga nilalabas neto,|MALI|JJD |MALI|JJD |MGA|DTCP |NILALABAS|VBTR |NETO|NNC,mali mali *** nilalabas neto
bikol,oragon ka boss,|ORAGON|CCT |KA|PRS |BOSS|FW,oragon ** boss
tagalog,putanginang bobo mo,putanginang|NNC|CCP |BOBO|JJD |MO|PRS,putanginang **** **
tagalog,putangina lagi kang nandyan eh,|PUTANGINA|VBTR |LAGI|RBW kang|PRS|CCP |NANDYAN|VBTS |EH|NNC,********* lagi **** nandyan **
tagalog,mali ata ang detection na ginagawa neto,|MALI|JJD |ATA|NNC |ANG|DTC |DETECTION|FW |NA|CCP |GINAGAWA|VBTR |NETO|NNC,mali ata ang detection ** ginagawa neto
cebuano,yawa ka bai,|YAWA|RBM |KA|PRS |BAI|NNC,**** ** bai
tagalog,kainis ang putanginang words,|KAINIS|JJD |ANG|DTC putanginang|NNC|CCP |WORDS|NNC,kainis ang putanginang words
tagalog,pukingina,|PUKINGINA|NNC,pukingina
bikol,losi lamang kaini,|LOSI|FW |LAMANG|RBI |KAINI|NNC,losi lamang kaini
bikol,patalon ang code na ini sarala baga,|PATALON|JJD |ANG|DTC |CODE|FW |NA|CCP |INI|FW |SARALA|FW |BAGA|NNC,******* ang code ** *** sarala baga
bikol,sarala ang hayop,|SARALA|NNC |ANG|DTC |HAYOP|NNC,sarala ang *****
tagalog,minsan tama minsan mali,|MINSAN|RBW |TAMA|RBT |MINSAN|RBW |MALI|JJD,minsan tama minsan mali
bikol,makauragon ang bulininaniyang ini,|MAKAURAGON|VBW |ANG|DTC bulininaniyang|NNC|CCP |INI|FW,********** ang ************** ***
tagalog,mali ang censoring shuta,|MALI|JJD |ANG|DTC |CENSORING|FW |SHUTA|FW,mali ang censoring *****
bikol,bangan puros patal,|BANGAN|JJD |PUROS|NNC |PATAL|NNC,bangan puros *****
bikol,ito ay mga bago,|ITO|PRO |AY|LM |MGA|DTCP |BAGO|RBW,*** ay *** bago
bikol,mali na naman ang nilabas,|MALI|JJD |NA|CCP |NAMAN|RBI |ANG|DTC |NILABAS|VBTS,mali ** ***** ang nilabas
bikol,ang daming bobo sa lugar na ito,|ANG|DTC daming|JJD|CCP |BOBO|NNC |SA|CCT |LUGAR|NNC |NA|CCP |ITO|PRO,ang daming **** sa lugar ** ***
bikol,mali na naman ang nakuha,|MALI|JJD |NA|CCP |NAMAN|RBI |ANG|DTC |NAKUHA|VBTS,mali ** ***** ang nakuha
tagalog,puta bobo mo,|PUTA|NNC |BOBO|JJD |MO|PRS,**** **** **
cebuano,hayop ka,|HAYOP|RBF |KA|PRS,***** **
cebuano,pota bakit ka andito,|POTA|FW |BAKIT|PRQ |KA|PRS |ANDITO|RBR,**** ***** ** andito
tagalog,tangina talaga,|TANGINA|RBW |TALAGA|RBT,******* ******
bikol,lininaniya urualdaw isira,|LININANIYA|VBTR |URUALDAW|FW |ISIRA|FW,********** urualdaw isira
tagalog,pukingina tinalo nila yon,pukingina|RBD|CCP |TINALO|VBOF |NILA|PRP |YON|PRO,pukingina tinalo nila ***
tagalog,puta panalo,|PUTA|NNC |PANALO|NNC,**** panalo
bikol,mga puta ako ang harapin niyo,|MGA|DTCP |PUTA|NNC |AKO|PRS |ANG|DTC |HARAPIN|VBOF |NIYO|PRP,*** **** *** ang harapin ****
cebuano,mga hayop ako harapin niyo,|MGA|DTCP |HAYOP|NNC |AKO|PRS |HARAPIN|VBOF |NIYO|PRP,*** ***** *** harapin ****
tagalog,ako harapin niyo mga putangina,|AKO|PRS |HARAPIN|VBOF |NIYO|PRP |MGA|DTCP |PUTANGINA|NNC,*** harapin **** *** *********
cebuano,mao ug na yawa,|MAO|JJD |UG|NNC |NA|CCP |YAWA|NNC,mao ug na ****
tagalog,tangina mo teh,|TANGINA|JJCC |MO|PRS |TEH|NNCA,******* mo teh
bikol,putcha nagtatalon ang gago,|PUTCHA|JJD |NAGTATALON|VBTR |ANG|DTC |GAGO|NNC,putcha nagtatalon ang ****
bikol,para turon su patal,|PARA|CCT |TURON|FW |SU|FW |PATAL|FW,para turon ** *****
<<<<<<< HEAD
bikol,lininaniyang gibuhon ini dae na natapos,lininaniyang|NNC|CCP |GIBUHON|FW |INI|FW |DAE|FW |NA|CCP |NATAPOS|VBTS,lininaniyang gibuhon ini *** na natapos
cebuano,piniste ka inday,|PINISTE|VBTS |KA|PRS |INDAY|NNC,piniste ka inday
cebuano,buang na tua sa ubos,|BUANG|JJD |NA|CCP |TUA|NNC |SA|CCT |UBOS|NNC,***** na tua sa ubos
bikol,kingina ka talaga wala ka na dapat dito sa mundo,|KINGINA|VBTS |KA|PRS |TALAGA|RBT |WALA|VBN |KA|PRS |NA|CCP |DAPAT|VBS |DITO|PRL |SA|CCT |MUNDO|NNC,kingina ka ****** wala ka na dapat dito sa mundo
cebuano,nagmamagaling kang inutil ka,nagmamagaling|VBTR|CCP kang|PRS|CCP |INUTIL|VBOF |KA|PRS,nagmamagaling kang inutil ka
=======
bikol,tanginamo ka ngayon,tanginamo|VBTS|VBAF |KA|PRS |NGAYON|RBW,tanginamo ka ngayon
tagalog,potangina ang bobo mo talaga,|POTANGINA|FW |ANG|DTC |BOBO|FW |MO|PRS |TALAGA|RBT,potangina ang **** mo ******
tagalog,tangina na mo,|TANGINA|JJD |NA|RBI |MO|PRS,******* na mo
bikol,ambot sa imo dong,|AMBOT|FW |SA|CCT |IMO|FW |DONG|FW,ambot sa imo dong
cebuano,ambot sa imo day intawon,|AMBOT|FW |SA|CCT |IMO|FW |DAY|FW |INTAWON|NNC,ambot sa imo day intawon
bikol,ang bobo mo talaga,|ANG|DTC |BOBO|JJD |MO|PRS |TALAGA|RBT,ang **** mo ******
>>>>>>> 858896d6579ab43486c6773e49eefc0db668431e
cebuano,nakakabusog ang tinapay na iyon,|NAKAKABUSOG|VBTR |ANG|DTC |TINAPAY|NNC |NA|CCP |IYON|PRO,nakakabusog ang tinapay na iyon
bikol,makabasugon ang tinapay na ito,|MAKABASUGON|VBW |ANG|DTC |TINAPAY|NNC |NA|CCP |ITO|PRO,makabasugon ang tinapay na ito
tagalog,masaya akong nakilala kita at nakasama,|MASAYA|JJD akong|PRS|CCP |NAKILALA|VBTS |KITA|NNC |AT|CCA |NAKASAMA|VBTS,masaya akong nakilala **** at nakasama
bikol,maogma akong namidmidan taka buda naka iba,|MAOGMA|VBW akong|PRS|CCP |NAMIDMIDAN|VBTR |TAKA|NNC |BUDA|NNC |NAKA|RBD |IBA|PRI,maogma akong namidmidan **** **** naka iba
tagalog,pumasok sila nang maaga sa opisina,|PUMASOK|VBAF |SILA|PRP |NANG|RBW |MAAGA|JJD |SA|CCT |OPISINA|NNC,pumasok sila nang maaga sa opisina
bikol,naglaog sindang amay sa opisina,|NAGLAOG|VBTS sindang|VBTS|CCP |AMAY|FW |SA|CCT |OPISINA|NNC,naglaog sindang amay sa opisina
bikol,tumalon siya sa ilog Pasig,|TUMALON|VBAF |SIYA|PRS |SA|CCT |ILOG|NNC |PASIG|NNP,tumalon siya sa ilog Pasig
bikol,kingina ka talaga wala ka na dapat dito sa mundo,|KINGINA|VBTS |KA|PRS |TALAGA|RBT |WALA|VBN |KA|PRS |NA|CCP |DAPAT|VBS |DITO|PRL |SA|CCT |MUNDO|NNC,kingina ka ****** wala ka na dapat dito sa mundo
bikol,nakipag away ka nanamang putangina ka,|NAKIPAG|VBTS |AWAY|NNC |KA|PRS |NANAMANG|RBJ putangina|VBTR|VBAF |KA|PRS,nakipag away ka nanamang ********* ka
bikol,pabigat ka sa buhay hayop ka,|PABIGAT|RBD |KA|PRS |SA|CCT |BUHAY|NNC |HAYOP|NNC |KA|PRS,pabigat ka sa ***** ***** ka
tagalog,gagi bagsak ka pala eh galingan mo naman,|GAGI|RBR |BAGSAK|NNC |KA|PRS |PALA|NNC |EH|NNCA |GALINGAN|VBOF |MO|PRS |NAMAN|RBI,gagi bagsak ka pala ** galingan mo *****
cebuano,nagmamagaling kang inutil ka,nagmamagaling|VBTR|CCP kang|PRS|CCP |INUTIL|VBOF |KA|PRS,nagmamagaling kang inutil ka
cebuano,naunsa ka man intawon,|NAUNSA|VBTS |KA|PRS |MAN|RBI intawon|VBTS|VBOF,naunsa ka man intawon
cebuano,bogo ka kayo,|BOGO|RBM |KA|PRS |KAYO|PRP,bogo ka ****
cebuano,bogo ka kayo,|BOGO|RBM |KA|PRS |KAYO|PRP,bogo ka ****
cebuano,buang na tua sa ubos,|BUANG|JJD |NA|CCP |TUA|NNC |SA|CCT |UBOS|NNC,***** na tua sa ubos
bikol,quit,|QUIT|NNC,quit
cebuano,buang na tua sa ubos,|BUANG|JJD |NA|CCP |TUA|NNC |SA|CCT |UBOS|NNC,***** na tua sa ubos
cebuano,buang na tua sa ubos,|BUANG|JJD |NA|CCP |TUA|NNC |SA|CCT |UBOS|NNC,***** na tua sa ubos
bikol,kaon na sa kalaban dong,|KAON|RBW |NA|RBI |SA|CCT |KALABAN|NNC |DONG|FW,kaon na sa kalaban dong
bikol,yawa ka man bai,|YAWA|PRC |KA|PRS |MAN|RBI |BAI|NNCA,**** ka man bai
cebuano,bogo ka kayo,|BOGO|RBM |KA|PRS |KAYO|PRP,bogo ka ****
cebuano,mangaon na ta mga dodong,|MANGAON|RBW |NA|CCP |TA|CCP |MGA|DTCP dodong|NNC|CCP,mangaon na ta mga dodong
cebuano,tibayon ka talaga boi ika daw mag kawat kang sako,|TIBAYON|RBR |KA|PRS |TALAGA|RBT |BOI|FW |IKA|JJN |DAW|RBI |MAG|VBW |KAWAT|CCB kang|PRS|CCP |SAKO|NNC,tibayon ka talaga *** *** *** *** kawat kang ****
cebuano,tibayon ka talaga boi ika daw mag kawat kang sako,|TIBAYON|RBR |KA|PRS |TALAGA|RBT |BOI|FW |IKA|JJN |DAW|RBI |MAG|VBW |KAWAT|CCB kang|PRS|CCP |SAKO|NNC,tibayon ka talaga *** *** *** *** kawat kang ****
tagalog,librehon taka atjan ta binuhat mo ako,|LIBREHON|FW |TAKA|FW |ATJAN|FW |TA|FW |BINUHAT|FW |MO|PRS |AKO|PRS,librehon taka atjan ta binuhat mo ako
bikol,mauragon ang napili mong karakter,|MAURAGON|VBW |ANG|DTC |NAPILI|VBTS mong|PRS|CCP |KARAKTER|NNC,mauragon ang napili mong karakter
bikol,maray man ta nakaisip kapang umuling patal ka,|MARAY|JJD |MAN|RBI |TA|NNCA |NAKAISIP|VBTS kapang|NNC|CCP |UMULING|VBAF |PATAL|RBD |KA|PRS,maray man ta nakaisip kapang umuling ***** ka
bikol,losi losion ang hamag na an,|LOSI|FW |LOSION|FW |ANG|DTC |HAMAG|NNC |NA|RBI |AN|DTC,losi losion ang ***** na an
tagalog,punyeta suso na nga lang nahulog pa,|PUNYETA|NNC |SUSO|NNC |NA|CCP |NGA|RBI |LANG|RBI |NAHULOG|VBTS |PA|RBI,******* suso na nga lang nahulog **
bikol,yudeputang pakaurag kang mga gibuhon,yudeputang|VBTR|VBAF |PAKAURAG|JJD kang|PRS|CCP |MGA|DTCP |GIBUHON|NNC,yudeputang pakaurag kang mga gibuhon
bikol,yudeputa iuragan ang mga patal,|YUDEPUTA|FW |IURAGAN|VBOF |ANG|DTC |MGA|DTCP |PATAL|NNC,******** iuragan ang mga *****
bikol,patalon ka talaga maski nuarin,|PATALON|RBD |KA|PRS |TALAGA|RBT |MASKI|CCT |NUARIN|NNC,******* ka talaga maski nuarin
cebuano,losi lamang kaan na hamag,|LOSI|FW |LAMANG|RBI |KAAN|JJD |NA|CCP |HAMAG|NNC,losi lamang kaan na *****
cebuano,punyemas na gawain toh,|PUNYEMAS|JJD |NA|CCP |GAWAIN|NNC |TOH|NNC,punyemas na gawain toh
bikol,nakakatakot ang mga nangyayare sa bansang ito,|NAKAKATAKOT|VBTR |ANG|DTC |MGA|DTCP |NANGYAYARE|VBTS |SA|CCT bansang|NNC|CCP |ITO|PRO,nakakatakot ang mga nangyayare sa bansang ito
bikol,paruton kang maray,|PARUTON|JJC kang|PRS|CCP |MARAY|NNC,******* kang maray
tagalog,pukingina mo sampalin kita jan,|PUKINGINA|JJCC |MO|PRS |SAMPALIN|VBOF |KITA|NNC |JAN|NNC,pukingina mo sampalin kita ***
cebuano,kauragon kang patal ka,|KAURAGON|JJD kang|PRS|CCP |PATAL|NNC |KA|PRS,******** kang ***** ka
