word,pos_tag,cluster
/KAN,RBW,2
/ENOT,FW,0
/PANAHON,NNC,1
/IGWA,FW,0
/NIN,FW,0
/PAMILYA,NNC,1
/NAKAISTAR,JJD,2
/BARANGAY,NNC,1
/SANTIAGO,NNC,1
/AN,DTC,2
/MAGAGOM,FW,0
/MAKASPAK,FW,0
/PIGBIYAYAAN,FW,0
/NIN,FW,0
/DUWANG,FW,0
/AKI,FW,0
/BOBOY,FW,0
/ASIN,NNC,1
/BELA,NNC,1
sarong,NNC/CCP,1
/ALDAW,JJD,2
/HABANG,RBW,2
/NAMAMASYAR,VBTR,2
/BOBOY,NNC,1
/ASIN,NNC,1
/BELA,FW,0
/NAKAHILING,FW,0
/SINDA,FW,0
/NIN,FW,0
/SARONG,FW,0
/MAGAYON,FW,0
harong,NNC/CCP,1
/KADAKOL,FW,0
/PUON,FW,0
/NIN,FW,0
/KAHOY,NNC,1
/ASIN,NNC,1
/MANLAENLAEN,FW,0
/MASETAS,FW,0
/NAMUMURAK,VBTR,2
/NAGAYUNAN,VBTS,4
/AN,DTC,2
/DUWA,FW,0
/NAHILING,FW,0
/NINDA,FW,0
/KAYA,CCR,2
/NAPAGKASARUAN,VBTS,4
/NINDA,FW,0
/LUOGON,FW,0
/AN,DTC,2
/DAKULANG,NNC,1
/HARONG,NNC,1
/KAN,RBW,2
/MAKALAOG,VBW,2
/AN,DTC,2
/DUWA,FW,0
/NAGDUMAN,FW,0
/TULOS,FW,0
/SINDA,FW,0
/HIGOD,FW,0
/KAN,FW,0
harong,NNC/CCP,1
/KADAKOL,RBR,2
sindang,NNC/CCP,1
/NAHILING,VBTS,4
/BURAK,CCT,2
/ASIN,NNC,1
/KALIBANG,NNC,1
bang,RBI/CCP,3
/NANGALAS,VBTS,4
/MARAY,JJD,2
/AN,DTC,2
/DUWA,FW,0
/NAHILING,FW,0
/NINDA,NNC,1
/MAGAYONON,VBAF,2
/DIGDI,FW,0
/BELA,FW,0
/GUSTO,VBS,2
/MAGDAKOP,VBTF,2
/NIN,FW,0
/KALIBANGBANG,NNC,1
/NI,DTP,2
/BOBOY,NNC,1
/DAI,CCT,2
/IYAN,PRO,2
/GIBOHON,VBOF,4
/BOBOY,FW,0
/MARAOT,FW,0
/MAAANGGOT,FW,0
/NANAY,NNC,1
/ASIN,NNC,1
/TATAY,NNC,1
/SIMBAG,NNC,1
/NI,DTP,2
/BELA,NNC,1
/DAI,FW,0
/NAGDANGOG,FW,0
/BOBOY,FW,0
saiyang,NNC/CCP,1
/TUGANG,NNC,1
/NAGDUMAN,VBTS,4
kalibangbang,JJD/CCP,2
/ASIN,NNC,1
/NAGDAKOP,VBTS,4
/KAINI,NNC,1
/NAGRALAYOG,VBTR,2
/AN,DTC,2
kalibangbang,JJD/CCP,2
/NIN,FW,0
/HULI,RBW,2
/TA,NNCA,2
/NATAKOT,VBTS,4
/KAY,DTP,2
/BOBOY,NNP,2
/NAANGGOT,VBTS,4
/MARAY,JJD,2
/AN,DTC,2
/REYNA,NNC,1
/KAN,CCB,2
kalibangbang,JJD/CCP,2
/GINIBO,NNC,1
/NI,DTP,2
/BOBOY,NNC,1
/MAYO,JJD,2
kang,PRS/CCP,2
/PAGKAHERAK,VBW,2
/AKI,NNCA,2
/KA,PRS,2
/DAPAT,VBS,2
/SAIMO,JJD,2
/PASAKITAN,RBD,2
/KA,PRS,2
/NI,DTP,2
reynang,NNC/CCP,1
/FLORESA,FW,0
/PINASAKITAN,VBTR,2
/BOBOY,NNC,1
/KAN,NNC,1
/REYNA,NNC,1
/ASIN,NNC,1
/GINIBONG,NNC,1
/BUBUYOG,NNC,1
/NANGYARI,VBTS,4
/SAKUYA,NNC,1
/TAANO,CCT,2
/NAGBAGO,VBTS,4
/AN,DTC,2
/ITSURA,NNC,1
/HALOS,RBN,2
/MAGHIRIBI,RBN,2
/NI,DTP,2
/BOBOY,NNC,1
/KAN,RBW,2
/NAGING,VBTS,4
/BUBUYOG,FW,0
/BOBOY,FW,0
biglang,RBD/CCP,2
/NAGBAGO,VBTS,4
/AN,DTC,2
/ITSURA,NNC,1
/KAN,RBW,2
/REYNA,NNC,1
/DAPAT,VBS,2
kang,PRS/CCP,2
/PASAKITAN,RBD,2
/GINIBO,RBD,2
/MAYO,RBD,2
kang,PRS/CCP,2
/HERAK,RBD,2
kalibangbang,JJD/CCP,2
/AN,DTC,2
/KAN,NNC,1
/REYNA,NNC,1
/PIGHANAP,VBTS,4
/NI,DTP,2
/BELA,NNP,2
/AN,DTC,2
saiyang,JJD/CCP,2
/TUGANG,NNC,1
/PERO,CCT,2
/DAI,NNC,1
