word,pos_tag,cluster
/ADUNA,JJD,4
/KAY,DTP,0
/PILA,NNC,1
/KA,PRS,0
/IGSOON,VBOF,0
/ANG,DTC,2
/MUZZLE,FW,3
/MAOY,FW,3
/TAAS,NNC,1
/UG,NNCA,0
gaspang,VBTS/VBAF,0
/SA,CCT,0
/ISIG,NNC,1
/KA,PRS,0
/KILID,NNC,1
/KON,RBW,0
/GIGUTOM,VBOF,0
/KA,PRS,0
/HALA,NNC,1
/KAON,NNC,1
/UG,NNCA,0
/KINI,FW,3
/SILA,PRP,0
/MIUNA,FW,3
/UG,FW,3
/DIDTO,FW,3
/MAGHULAT,FW,3
/KANAMO,NNC,1
/SA,CCT,0
/TROAS,NNC,1
/ANG,DTC,2
/NAPATAY,VBTS,0
/NA,CCP,0
/IMPERYAL,JJD,4
/NGA,RBI,0
/KALAPATI,NNC,1
/KAY,DTP,0
/ENDEMIK,NNC,1
/SA,CCT,0
/PILIPINAS,NNC,1
/KINSA,JJD,4
imong,VBAF/CCP,0
/KAUBAN,RBD,0
/MAGSELEBRAR,VBW,0
/SA,CCT,0
/PASKO,NNC,1
/SA,CCT,0
/WALAY,FW,3
/DUHADUHA,FW,3
/KAMO,FW,3
/MAO,FW,3
/ANG,DTC,2
/KATAWOHAN,NNC,1
/NANGASAWA,VBTS,0
/SIYA,PRS,0
/UG,NNCA,0
/GWAPA,FW,3
/KAAYO,CCB,0
/NGA,RBI,0
/BABAYE,NNC,1
/SA,CCT,0
/KILID,NNC,1
/SA,CCT,0
/MUNISIPYO,NNC,1
/ANG,DTC,2
/OSPITAL,NNC,1
/KUMUSTA,VBAF,0
/ANG,DTC,2
imong,JJD/CCP,4
/KLASE,NNC,1
/SA,CCT,0
/PRANSES,NNC,1
/ANG,DTC,2
/TANAN,PRI,0
/TAO,NNC,1
/MIBARUG,NNC,1
/SA,CCT,0
/NAHAUNA,VBTS,0
/NGA,RBI,0
/ADLAW,FW,3
/ADUNAY,FW,3
/USA,FW,3
/KA,PRS,0
/BALAAN,VBOF,0
/NGA,RBI,0
/PAGKATIGUM,VBW,0
/WALAY,FW,3
/BISAN,FW,3
/UNSA,FW,3
/NGA,RBI,0
/BULOHATON,VBTF,0
/NGA,RBI,0
/INALAGAD,VBTS,0
/NGA,RBI,0
/PAGABUHATON,VBW,0
/NINYO,PRP,0
maayong,JJD/CCP,4
/PAGBALIK,VBW,0
/GIMINGAW,VBOF,0
/KAAYO,CCB,0
