word,pos_tag,cluster
/PUTANGINA,JJD,0
/NA,CCP,0
/GETS,FW,2
/KO,PRS,4
/YUNG,PRO,0
/PARTNERSHIP,FW,2
/HAHA,FW,2
/PWEDE,RBT,0
/NA,CCP,0
/AKO,PRS,4
/MATULOG,VBW,0
/YAY,NNC,1
/PUNYETA,NNC,1
/PARA,CCT,0
/KANINO,PRQ,0
/BA,RBI,3
/TALAGA,RBT,0
/KAYO,PRP,0
/PUTANGINA,JJCC,0
/MO,PRS,4
/DI,RBF,0
/SAPAT,JJD,0
yung,PRO/CCP,0
/PAKYU,FW,2
/PAKYU,FW,2
/LANG,RBI,3
/YUNG,PRO,0
/SINABIHAN,VBTS,0
/AKO,PRS,4
/NG,CCB,0
/BOBO,NNC,1
/NG,CCB,0
/PLAYER,NNC,1
/NAMEN,NNC,1
/SA,CCT,0
/EARLY,FW,2
/GAME,FW,2
/KUPAL,JJD,0
/DIN,RBI,3
/AKO,PRS,4
/KAYA,CCR,0
/WAG,RBF,0
/AKO,PRS,4
/KAHIT,CCT,0
/BOBO,JJD,0
/MO,PRS,4
/PUMANA,VBAF,0
/MALUNGKOT,JJD,0
/NA,CCP,0
/NGA,RBI,3
/AKO,PRS,4
/TAPOS,RBW,0
/BOBO,JJD,0
/PA,RBI,3
/AKO,PRS,4
/ANO,PRQ,0
/PERFECT,FW,2
/COMBINATION,FW,2
/KA,PRS,4
/BEH,FW,2
/HAHA,FW,2
/DI,RBF,0
/KAMI,PRP,0
/TALO,NNC,1
/NI,DTP,0
/LM,NNCA,0
/PUCHA,NNC,1
/HAHA,NNC,1
/MOVE,FW,2
/ON,FW,2
/DAW,RBI,3
/SI,DTP,0
/TANGA,JJD,0
/AWRA,NNC,1
/HAHA,NNC,1
/PERO,CCT,0
ilang,PRQ/CCP,0
/BEAN,FW,2
/LANG,RBI,3
/MAG,VBW,0
/MAMAKAAWA,VBW,0
/NANAMAN,VBTS,0
/KAY,DTP,0
/ZEBBY,FW,2
/YAN,PRO,0
/HAHA,NNC,1
/EXAM,FW,2
/NA,CCP,0
/NAMAN,RBI,3
/SA,CCT,0
/MAJOR,JJD,0
/PUCHA,NNC,1
/ANO,PRQ,0
/YAN,PRO,0
/TANGA,JJD,0
/WALA,VBN,0
/DIN,RBI,3
akong,PRS/CCP,4
/LOAD,FW,2
/NAHIHILO,VBTS,0
/NA,CCP,0
/AKO,PRS,4
/PUNYETA,NNC,1
/SHAN,FW,2
/ZAMORO,FW,2
/MABANGO,FW,2
/MABAIT,JJD,0
/TARANTADO,NNC,1
/MAHILIG,JJD,0
/MAGBASA,VBAF,0
/TANGA,JJD,0
/NI,DTP,0
/PIA,FW,2
/MAMAMATAY,VBTF,0
/AKO,PRS,4
/EH,NNCA,0
/KUPAL,JJD,0
/DAMI,NNC,1
/MO,PRS,4
/KILL,FW,2
/SA,CCT,0
/DR,FW,2
/HAHA,FW,2
/ANG,DTC,0
/HIRAP,NNC,1
/KUMAIN,VBAF,0
/HUHU,FW,2
/BWISET,FW,2
/NA,CCP,0
/WISDOM,FW,2
/TOOTH,FW,2
/TANGINA,RBW,0
/NANG,RBW,0
/LALAMIG,VBTF,0
/AKO,PRS,4
/HINDI,RBF,0
/YUNG,PRO,0
gumawa,VBTS/VBAF,0
/KA,PRS,4
/PA,RBI,3
/NG,CCB,0
/MEMORIES,FW,2
/BAGO,RBW,0
/KA,PRS,4
/UMALIS,VBAF,0
