FW_Word|POS_TAG
/ENOT|NNC
/IGWA|NNC
/MAGAGOM|VB
/MAKASPAK|VB
/PIGBIYAYAAN|NNCPL
/DUWANG|NNC
/BOBOY|NNC
/NAKAHILING|VBOF
/MAGAYON|JJD
/KADAKOL|JJD
/PUON|NNC
/MANLAENLAEN|JJD
/MASETAS|VB
/DUWA|NNC
/NAHILING|VBOF
/NINDA|PRP
/LUOGON|NNC
/NAGDUMAN|VBOF
/TULOS|VBAF
/HIGOD|NCC
/DIGDI|PRP
/MARAOT|JJD
/MAAANGGOT|VBAF
/NAGDANGOG|VBOF
/FLORESA|NNC
/BUBUYOG|NNC
/HARONG|VBOF
/NAGTANOM|VBOF
/NAWARAAN|VBOF
/NAGTUTUGDON|VB
/TNGA|JJD
/ALDAW|NNC
/NAGBIBISIKLETA|VBAF
/INAPON|VBOF
/HILINGA|VBAF
/PNONG|PRP
/PIRIT|JJD
/PWDE|VB
/MATABANGAN|VBAF
/KURAHAW|VB
/SADAY|JJD
/ULOD|NNC
/HARANI|JJD
/BITIS|NNC
/SIRAM|JJD
/INAY|NNC
/MANOK|NNC
/KIISAY|PRP
/SAINDA|PRP
/NASOPOG|VB
/KAINI|PRP
/AGOM|NNC
/TATAMNAN|VB
/GINIBO|VBOF
/TINANOM|VBOF
/AROG|CCP
/SATUYA|PRS
/KAIPUHAN|VB
/MAGTANOM|VBOF
/GAMGAM|NNC
/TADAW|RBF
/OLIBA|NNC
/SOSOG|NNC
/KINABAN|NNC
/MAGKAKAIGWA|VB
/PAGTANOM|VB
/LIPOT|JJD
/TIGINIT|JJD
/ITINATAO|VBOF
/SAINDO|PRP
/UGARING|CCP
/MANUNGOD|NNC
/KAPRE|NNC
/ASWANG|NNC
/UNING|DTC
/TIGTATAGO|VB
/HUNAHUNA|NNC
/KURUKARWAR|VBOF
/MAHILING|VBOF
/MAGTUBOD|VBOF
/SILING|NNC
/LABYU|VERB
LILIBUTON|VB
NIYATONG|VB
MUMUYAHON|VB
NGUNYAN|RBF
WAWARAON|VB
IMONG|PRP
MARIBUKON|JJD
ABUTON|VB
NGANI|CCP
LALAYUGON|VB
TUNGAG|NNC
TUNGAGON|NNCPL
ARTEHON|VB
TUNGAGTUNGAGON|NNCPL
KADANGAGAN|NNC
NINANYA|PRP
/ALLENLYKAJOY|NNC
/MANGYARE|VBOF
/PARUTON|JJD
/ALECO|NNC
PAIRAROM|NNC
PATALON|NNC
BOBONG|NNC
DGDI|VB
NAGPINATAL|VB
TIGBAK|VB
BUGAY|NNC
IRINITAN|NNC
JAN|PRP
KULDAS|VB
BURAT|NNC
PILISOPOHON|NNC
SUKIKION|NNC
PALPAL|VB
PADARHAN|NNC
MARAY|JJD
BURAYNINANIYANG|NNC
SAKUYA|NNC
HALAT|NNC
MAPAARAM|VB
BURAY|NNC
PAARAM|VB
ATCHAN|FW
IYANG|PRP
SELPON|NNC
PWERTI|NNC
ULAYAN|NNC
PUTANGINA|FW
MUKBANGERS|FW
AROT|VB
HALOY|NNC
URULIAN|NNC
OWRIGHT|FW
DIPUNGAL|VB
NGUNGUON|NNC
MOPABAKALAN|NNC
HAMAGAN|NNC
REALTALKON|FW
MAKATUBOD|VB
PORKE|FW
IPAPASAR|VB
TAKAHUNA|FW
MADADARA|VB
TAKUNG|VB
LUWAS|VB
BADTRIP|FW
BAHAN|NNC
ALUYON|NNC
HAIKA|RBF
PAIMBALSAMO|VB
IGHAHANAP|VB
MAKIKIFIESTA|VB
DARAHON|NNC
GABOS|NNC
AKAPAARAM|FW
AIMO|RBF
KUPAL|NNC
ARERESIBI|FW
IMPO|FW
BUGAYNINANIYA|NNC
SISAY|PRP
MAUGMA|JJD
FRAMENAKUA|FW
PICTUREFRAME|FW
MAREGALO|NNC
HAMAG|NNC
SIGII|NNC
NAKASABAY|VB
ULNOK|FW
NAKALUWAS|VB
PALAN|NNC
HOLDAPPER|FW
BURAYNINANIYA|NNC
UMINEND|VB
GIGIL|VB
BULININANIYA|NNC
MALUPITON|NNC
AKBAKAN|VB
MAKUSUGON|VB
HAYME|FW
MAPUGULAN|NNC
PANGYARE|NNC
GIGIBUHON|VB
YAON|PRP
NGANIN|FW
IRILISTA|VB
DARARAHON|NNC
LAKOP|NNC
KAPALPALAN|NNC
PATIRIKTOKON|VB
ILINGON|VB
INDO|FW
ULTOL|FW
EBIKE|FW
IRRESPONSABLENG|FW
AYMATIPID|FW
SENYOR|FW
MOPABAKALAN|VB
HAMAGAN|NNC
TINDOG|NNC
MAMIMEET|VB
TARANTADO|JJD
NAGPAARAM|VB
TAWO|NNC
SUSURULOG|NNC
PAGPAKIARAMAN|VB
DEPUTANG|JJD
SIRAMSADIRING|NNC
HEYHEYHEYHEYLUHAYLUHAY|RBF
DINALE|NNC
APARTELLE|NNC
PAPATANTAN|NNC
NADUMANAN|NNC
PADII|NNC
ISIPON|VB
DEMONYO|NNC
MAAADVISE|VB
GUMIBO|VB
PALN|NNC
PADANGAT|VB
NAMOOT|VB
HALATUN|JJD
MAGHURON|VB
KASIRAM|NNC
IWALAT|VB
MAKASULYA|VB
MANAMIT|JJD
ISABOD|NNC
TAMAKRIG|VB
SUARIN|VB
INIITINDI|NNC
AABUSO|VB
KANAMAN|NNC
LOGOD|NNC
PATAPILOON|NNC
NGUSU|NNC
PAGKAMOOT|NNC
DAINAGLAYOGANBAYONGNI|NNC
PEDROMASKINAWAR|NNC
UYAMON|VB
LUWAY|NNC
KASUBAGO|NNC
GULOGULO|NNC
SADIRI|NNC
KADLAGAN|NNC
RAGAL|NNC
NGANING|NNC
NASANA|NNC
GULOHUN|NNC
NAYOP|NNC
DRAMAHON|NNC
AMPOTA|NNC
PISOG|NNC
KANB|NNC
MAAGOT|VB
PINANGAKI|NNC
MARHAY|JJD
SAKAT|VB
MATAGOT|VB
DOTDOT|RBF
DUHHH|RBF
LUSI|NNC
HHAHAHAHAH|RBF
PORKET|VB
NADADANGOG|VB
PAWNO|NNC
IDEDEFEND|VB
ARUG|NNC
KAPATAL|NNC
HIRAK|NNC
TATAO|NNC
INURAGAN|VB
DANGAG|VB
MAHAGAD|JJD
SYEMPRE|RBF
LATUBON|NNC
MAGCHAT|VB
SIGURADUHON|VB
HABO|NNC
RESULTAS|NNC
MAPAKONG|NNC
MASALUGSOG|NNC
BINAYADAN|NNC
PASYENTEET|NNC
UPOD|NNC
LWAT|NNC
RUBA|NNC
SINDANG|NNC
DIDINURAT|NNC
RAPASON|NNC
PHPM|NNC
PAAGI|VB
ALOKASYON|NNC
NAGTAO|VB
SINAMBIT|VB
BENEPISYARO|NNC
PARAOMA|NNC
/REHISTRADO|NNC
