sentence,profane
Kung di ka mokaon,0
Kinahanglan og p pintal sa panimalay nimo.,0
Tinuod diay tong hungihong.,0
Dili na siya na siya mungisi nako.,0
Nagatuo sila sa kinabuhi human sa kamatayon.,0
Kanus-a nimo siya nakit-an nga gisayawan niya siya?,0
Wala ko naghunahuna kadiyot nga sayop ka.,0
Namatay ang akong lolo sa Ikaduhang Digmaang Kalibutanon.,0
Magpakamatay siya inig dili niya makita iyahang anak.,0
Gusto ni Tatay nga magskwela ko sa laing nasud samtang bata pa ko.,0
Kadiyot ra.,0
Patay tong tawhana.,0
Nakawala na ko sa akoang tatay.,0
Motingog ang kampana inig ma-alas otso.,0
Gisaad sa Ginoo nga tanan katawhan mangamatay.,0
Ang kamatayan kay murag nagbalhin balhin ra.,0
Unsa ba siya; tawo,0
Ang katawhan gyud ang mambuhatay ug istorya.,0
Tatay,0
Dili ko motugot ug kabuang nga natilawan na ko niya.,1
Namatay na tung mga buwaka.,0
Sa unang andana sa palasyo kay adunay sayawanan,1
Nakuyawan ko tung nakit-an nakong pula ang iyahang buhok.,1
Anaa bay tindahan sa hayupan?,0
Tinuod nga nakuyawan ko sa balita.,1
Fritz ang ngalan sa akong tatay.,0
Mamatay ang bulak kon walay tubig.,0
Kon usahay,0
Ang kausaban kay kasabay sa panganak ug kamatayan.,0
Dugay nang nangamatay ang mga dinosawro.,0
Nakuyawan ko nga naa ka.,1
Lisod kaayo ang kinabuhi,0
Wala koy oras anang kamatayon.,0
Gihigugma nako ang siningug mga malinawon nga hapon sa panimalay.,0
Mamatay ning tanan.,0
Ang akong igsoon nga lalaki musweldo ug kapin kun kulang katunga sa kita sa akong tatay.,0
Mangamatay ang mga tanom kung walay bisbis.,0
Walay sibatay.,0
Mamatay na ba ko? Dili,0
Kinahanglan niya nga tun-an ang epistemolohiya at ontolohiya.,0
Nabuang gyud ka.,1
Nahibal-an nimo nga eksperto ako ug nabuang ka.,1
Hunungi ninyo ang paghisgot bahin sa akong pamilya.,0
Ang gibuhat niya kay kabuang.,1
Makamatay kana nga bitin.,0
Kadiyot lang.,0
Nahunahunaan niya nga angay to sa buhi ug kamatayon.,0
Kadiyot lang gyud.,0
Namatay sa usa ka aksidente ang tulo ka trabahante nga sakay sa trak.,0
Ang mga nangamatay lang ang nakakita sa pagkahuman sa giyera.,0
Iyang tatay gusto nga mahimo siyang usa ka piyanista.,0
Mamatay ka!,0
Ang tao kay mangamatay.,0
Matod pa nila ang talong adunay daghang nikotina.,0
Patay na ang tanan nga mga rebelde.,0
Naglikay siya nga mag-istorya bahin sa pagkamatay sa iyang bana.,0
Bantayi ang bata alang nako kadiyot.,0
Patayon nato ang telebisyon.,0
Namatay akong ginikanan.,0
Mamatay ang tawo.,0
Mahimo ba nimo nga biyaan kami kadiyot?,0
Namatay siya sa iyang katre.,0
Ang mga tawo nangatulog sa diha nga sila nagpuyo,0
Nahuman nako ang tanan nga buluhaton sa balay ug gusto nako nga mopahulay kadiyot.,0
Pahulata siya kadiyot.,0
Ang akoang tatay kay naa sa ospital ron.,0
Ang ingon nila Pedro ug Paulo kay mangamatay sad parehas og usa ka martir.,0
Sa mga salida nga amerikano,0
Sa panan-aw nako kay naboang na ko.,0
Namatay ang tigulang ganihang buntag.,0
Ang aksidente ang hinungdan sa daghan nga kamatayan.,0
Namatay iyang amahan.,0
Gisulat nako na para sa atoang mga amigo nga nangamatay.,0
Nangisda si tatay.,0
Parehas nako,0
Gamay na lang ang siyopaw sa kusina.,0
Kini ang kwarto kon asa nagpakamatay ang awtor.,0
Namatay siya pila ka adlaw pagkahuman sa iyang ika-sagatos nga pagselebrar sa iyang pagkatawo.,0
Hadlok ko sa kamatayon.,0
Usa ka babaye kay nagsuwat og 30 ka libro tungkol sa kon unsaon mahimong malipayon,0
Mas tigulang pa si Nanay kay Tatay.,0
Nagpakamatay si Vincent Van Gogh atong 1890.,0
Naay dugo nga asul nga nilatay sa akong mga ugat.,0
Ang mga su sa marte kay mga kahayopan nga gikan sa Tiyera.,0
Ang ilahang pinulungan sama sa pinulungan sa mga kulubot.,0
Nag letseplan si Binda sa kusina.,0
Pangaon mo og letseplan didto sa kusina!,0
Maayo ang iyang siyopaw.,0
Lami ang siyopaw ni Esmeraldo.,0
Ayaw sulayi sa panimalay kung unsa man ang inyong mga nakita.,0
Nisulti ang isa ka babae,0
Siyopaw na bola-bola ang ganahan ni Wanda.,0
Og asadong siyopaw ang ganahan ni Larry.,0
Mangamatay tang tanan.,0
Wala siyay panimalay.,0
Gi tudloan ko sa akong tatay mag luto.,0
Gi hungit ni Trixie and isa ka kutsarita na maja blanca sa iyang anak na lalake.,0
Gi hungit ni Alex ang espasol sa iyang baba.,0
Wala akong anumang nalalaman sa pinaggagawa ng tatay ko.,0
Patay na sila.,0
Patay?,0
Nagsinayaway sila.,1
