<<<<<<< HEAD
﻿sentence,profane
putangina na gets ko yung partnership haha pwede na ako matulog yay,1
punyeta para kanino ba talaga kayo,1
putangina mo di sapat yung pakyu pakyu lang,1
yung sinabihan ako ng bobo ng player namen sa early game,1
kupal din ako kaya wag ako,1
kahit bobo mo pumana,1
malungkot na nga ako tapos bobo pa ako ano perfect combination ka beh haha,1
di kami talo ni lm pucha haha,1
move on daw si tanga awra haha pero ilang bean lang mag mamakaawa nanaman kay zebby yan haha,1
exam na naman sa major pucha,1
ano yan tanga wala din akong load,1
nahihilo na ako punyeta,1
shan zamoro mabango mabait tarantado mahilig magbasa,1
tanga ni pia mamamatay ako eh,1
kupal dami mo kill sa dr haha,1
ang hirap kumain huhu bwiset na wisdom tooth,1
tangina nang lalamig ako,1
hindi yung gumawa ka pa ng memories bago ka umalis haha tanga,1
kita ko si aj dito sa ibbara pakyu agad bungad haha,1
tarantado talaga si jheld at aj,1
tangina niyong mga ulol palibhasa manok lang alam nyong alagaan kaya salbahe kayo sa aso eh,1
tagal mapuno ng jeep punyeta hulas na pagkatao ko,1
deserve mo rin yang magkalagnat masakit lalamunan at sinisipon pakyu,1
hindi nga ako nagkakanin puro naman candy pinagkakain ko puta,1
nagpapapansin parin pala si asong ulol dabid,1
puta nakailang hampas na siya,1
ate may bwiset nanaman sa kabilang baranggay,1
tangina sinabihang panget pero in a sosyal way,1
tangina mo pwede bang sa akin ka lang,1
huy pasabi naman ako kung mag unfollow kayo mga tarantado,1
bwiset lagi nandon yung manyak na lalaki nakakatakot na,1
ang hirap naman makipag unahan sa snazzymnla pucha,1
ako ulol na ulol sayo,1
puta panandaliang saya haha,1
sa promise ni maam pakyu,1
kakainis ka pa ah tanga gamit ko yan kukunin mo,1
tangina mo skusta shit at sa bago mong jowa kupal mga demonyo proud pa kayo mga animal napaka insensitive niyo kakalaglag lang ng baby ni zeb mga walang puso proud pa kayo sa social media na kayo talaga eh no once a pokpok always a pokpok talaga grr kala mo naman magtatagal sila,1
gago kinikilig nanaman ako punyeta,1
sabi na eh gago ka talaga pucha,1
di lang ikaw by juris beh putangina ily,1
alam para akong tanga dito sa twitter alam mo yon haha,1
tanginang buhay itoh bwiset,1
bobo po talaga ako,1
punyeta twitter kung ayaw mo mag play ng vids edi wag shuta haha,1
