pos_tagged,label
/SENTENCE|NNC,profane/KAN|RBW /ENOT|FW /PANAHON|NNC /IGWA|FW /NIN|FW /PAMILYA|NNC /NAKAISTAR|JJD /BARANGAY|NNC /SANTIAGO|NNC
,0
/AN|DTC /MAGAGOM|FW /MAKASPAK|FW /PIGBIYAYAAN|FW /NIN|FW /DUWANG|FW /AKI|FW /BOBOY|FW /ASIN|NNC /BELA|NNC,0
sarong|NNC/CCP /ALDAW|JJD /HABANG|RBW /NAMAMASYAR|VBTR /BOBOY|NNC /ASIN|NNC /BELA|FW /NAKAHILING|FW /SINDA|FW /NIN|FW /SARONG|FW /MAGAYON|FW harong|NNC/CCP,0
/KADAKOL|FW /PUON|FW /NIN|FW /KAHOY|NNC /ASIN|NNC /MANLAENLAEN|FW /MASETAS|FW /NAMUMURAK|VBTR,0
/NAGAYUNAN|VBTS /AN|DTC /DUWA|FW /NAHILING|FW /NINDA|FW /KAYA|CCR /NAPAGKASARUAN|VBTS /NINDA|FW /LUOGON|FW /AN|DTC /DAKULANG|NNC /HARONG|NNC,0
/KAN|RBW /MAKALAOG|VBW /AN|DTC /DUWA|FW /NAGDUMAN|FW /TULOS|FW /SINDA|FW /HIGOD|FW /KAN|FW harong|NNC/CCP,0
/KADAKOL|RBR sindang|NNC/CCP /NAHILING|VBTS /BURAK|CCT /ASIN|NNC /KALIBANG|NNC bang|RBI/CCP,0
/NANGALAS|VBTS /MARAY|JJD /AN|DTC /DUWA|FW /NAHILING|FW /NINDA|NNC,0
/MAGAYONON|VBAF /DIGDI|FW /BELA|FW /GUSTO|VBS /MAGDAKOP|VBTF /NIN|FW /KALIBANGBANG|NNC /NI|DTP /BOBOY|NNC,0
/DAI|CCT /IYAN|PRO /GIBOHON|VBOF /BOBOY|FW /MARAOT|FW /MAAANGGOT|FW /NANAY|NNC /ASIN|NNC /TATAY|NNC /SIMBAG|NNC /NI|DTP /BELA|NNC,0
/DAI|FW /NAGDANGOG|FW /BOBOY|FW saiyang|NNC/CCP /TUGANG|NNC,0
/NAGDUMAN|VBTS kalibangbang|JJD/CCP /ASIN|NNC /NAGDAKOP|VBTS /KAINI|NNC,0
/NAGRALAYOG|VBTR /AN|DTC kalibangbang|JJD/CCP /NIN|FW /HULI|RBW /TA|NNCA /NATAKOT|VBTS /KAY|DTP /BOBOY|NNP,0
/NAANGGOT|VBTS /MARAY|JJD /AN|DTC /REYNA|NNC /KAN|CCB kalibangbang|JJD/CCP /GINIBO|NNC /NI|DTP /BOBOY|NNC,0
/MAYO|JJD kang|PRS/CCP /PAGKAHERAK|VBW /AKI|NNCA /KA|PRS /DAPAT|VBS /SAIMO|JJD /PASAKITAN|RBD /KA|PRS /NI|DTP reynang|NNC/CCP /FLORESA|FW,0
/PINASAKITAN|VBTR /BOBOY|NNC /KAN|NNC /REYNA|NNC /ASIN|NNC /GINIBONG|NNC /BUBUYOG|NNC,0
/NANGYARI|VBTS /SAKUYA|NNC /TAANO|CCT /NAGBAGO|VBTS /AN|DTC /ITSURA|NNC /HALOS|RBN /MAGHIRIBI|RBN /NI|DTP /BOBOY|NNC,0
/KAN|RBW /NAGING|VBTS /BUBUYOG|FW /BOBOY|FW biglang|RBD/CCP /NAGBAGO|VBTS /AN|DTC /ITSURA|NNC /KAN|RBW /REYNA|NNC,0
/DAPAT|VBS kang|PRS/CCP /PASAKITAN|RBD /GINIBO|RBD /MAYO|RBD kang|PRS/CCP /HERAK|RBD kalibangbang|JJD/CCP /AN|DTC /KAN|NNC /REYNA|NNC,0
/PIGHANAP|VBTS /NI|DTP /BELA|NNP /AN|DTC saiyang|JJD/CCP /TUGANG|NNC /PERO|CCT /DAI|NNC /NIYA|PRS /INI|FW /NAHILING|FW /BOBOY|FW /HAEN|FW /KA|PRS /BOBOY|NNC,0
/NAGULI|VBTS /NIN|FW /SOLO|FW /BELA|FW,0
/NAGHIHIBI|VBTR /ASIN|NNC /TAKOT|NNC /PIGISTORYA|NNC /SAIYANG|NNC magurang|VBW/CCP /AN|DTC /NAGYARI|VBTR,0
/NAGBALIK|VBTS /SINDA|FW /HARONG|FW /KAN|FW /REYNA|NNC /PERO|CCT /DAI|FW /NINDA|FW /INI|FW /NAHILING|FW /PA|RBI,0
/NIN|FW /HULI|RBW sobrang|JJCS/CCP /KAMUNDUAN|NNC /NI|DTP /BELA|FW /PAGKAWARA|NNC /NI|DTP /BOBOY|FW /NAGTANOM|FW /NIN|FW /NAGTANOM|FW /NIN|FW /PUON|FW /KAN|NNC /KAHOY|NNC /GULAY|NNC /ASIN|NNC /MASETAS|JJD /NAGBUBURAK|VBTR saindang|VBOF/CCP /HARDEN|NNC,0
/DAI|FW /NAWARAAN|FW /NIN|FW /PAGASA|NNC nasarong|VBTS/CCP /ALDAW|NNC /MABALIK|VBW /AN|DTC /SOLO|FW niyang|PRS/CCP tugang|NNC/CCP /BOBOY|NNC,0
/POON|FW /KAITO|FW /KADAKOL|FW /NAGTUTUGDON|VBTR kalibangbang|JJD/CCP /ASIN|NNC /BUBUYOG|NNC /TANOM|NNC /NI|DTP /BELA|NNC,0
/MAOGMA|VBW siyang|PRS/CCP /MAHILING|VBW /AN|DTC /INI|FW /TA|FW /SARO|FW /NAGTUTUGDON|FW /DIGDI|FW /IYO|PRSP /AN|DTC saiyang|NNC/CCP tugang|NNC/CCP /BOBOY|NNC,0
/AN|DTC /TNGA|FW /SAKA|CCA /AN|DTC /TINAPAY|NNC,0
/IGWA|FW /NIN|FW sarong|NNC/CCP /PAMILYA|NNC /NIN|FW /TNGA|FW,0
sarong|NNC/CCP /ALDAW|FW /IGWA|FW /NIN|FW /AKI|FW /NAGBIBISIKLETA|FW /INAPON|FW /NYA|PRS /AN|DTC sobrang|JJCS/CCP /TINAPAY|NNC,0
/IGWA|FW /NIN|FW sarong|NNC/CCP /TNGA|JJD /SAKA|CCA kapidasong|JJD/CCP /TINAPAY|NNC /DALAN|NNC,0
/HILINGA|FW /KUN|FW /PNONG|FW /PIRIT|FW binubutong|VBOF/CCP /KAN|NNC /MAISOG|VBW /TNGA|NNCA /AN|DTC /TINAPAY|NNC,0
/BINUTONG|VBTR /NYA|PRS binutong|VBOF/CCP /ALAGAD|NNC /MAYONG|VBW /NANGYARI|VBTS,0
/DAI|NNC /SYA|PRS /NAWARAN|VBTS /NIN|FW /PAGLOM|NNC,0
/NAGHAGAD|VBTS /SYA|PRS /NIN|FW tabang|JJD/CCP saiyang|NNC/CCP /KATUOD|NNC,0
mantang|VBW/CCP /NAGAARAWITAN|VBTR /BILOG|NNC /ALDAW|CCT nindang|NNC/CCP /TINUTULOD|VBTR /DANGAN|NNC /HINIHILA|VBOF /AN|DTC /KARITON|NNC,0
/NAABOT|VBTS /MAN|RBI /GIRARAY|RBD ninda|VBTS/VBOF /AN|DTC /BURUBUKLOD|NNC,0
/ILUWAS|JJD /TINAPAY|NNC /PARA|CCT /GABOS|VBOF /AN|DTC kan|PRSP/CCP inang|NNC/CCP /TNGA|NNC,0
/BINARANGA|VBTR /DANGAN|JJD /PINAGSARAMAAN|VBRF /NINDA|FW /INI|FW /BILANG|CCT /PAMANGGIHAN|NNC,0
/AN|DTC /BUBUYOG|NNC /ASIN|NNC /AN|DTC /ELEPANTE|NNC,0
/NAWAWARA|VBTR /KAN|RBW /SADAY|NNC /BUBUYOG|NNC,0
/DAI|RBD /MAHANAP|VBW sakung|PRO/CCP harong|NNC/CCP,0
/PWDE|FW /BA|FW /MATABANGAN|FW /MR|FW /ELEPANTE|NNC,0
/SALAG|CCR /BA|RBI saimong|NNC/CCP harong|NNC/CCP /SADAY|JJD /BUBUYOG|NNC /AN|DTC /ELEPANTE|NNC /NAGHAPOT|VBTS,0
/BAKO|FW /KURAHAW|FW /KAN|FW /SADAY|FW /BUBUYOG|FW /HARONG|FW /IYAN|PRO kang|PRS/CCP /BAYONG|NNC,0
/KWEBA|NNC /BA|RBI saimung|PRO/CCP harong|NNC/CCP /HAPOT|JJD kang|PRS/CCP /ELEPANTE|NNC,0
/BAKO|NNC harong|NNC/CCP /IYAN|PRO kang|PRS/CCP /PANIKI|NNC,0
/PUKYUTAN|NNC /BA|RBI saimong|JJD/CCP harong|NNC/CCP /SADAY|NNC /BUBUYOG|NNC,0
/IYO|PRSP maogmang|JJD/CCP /KAN|NNC /SADAY|NNC /BUBUYOG|NNC harong|NNC/CCP /IYAN|PRO,0
/ULOD|FW /HARANI|FW /BITIS|FW /NI|DTP /TOTO|FW /SIRAM|FW,0
/TINUKA|VBTS /NI|DTP /TATA|NNP /AN|DTC /BULATE|NNC,0
/INISIP|VBTS /NI|DTP /TOTO|NNP /INOT|FW /NYA|PRS /INING|NNC nahiling|VBTS/CCP,0
habong|JJD/CCP /BUTSAN|NNC /NI|DTP /TOTO|NNP /AN|DTC /ULOD|NNC,0
/IHAHAPOT|VBTF /NINDA|FW /KI|FW /INAY|FW /MANOK|FW /KUN|FW /KIISAY|FW /DAPAT|VBS /MAPADUMAN|VBW /AN|DTC /ULOD|NNC,0
/ABAA|FW /SARO|FW /SAINDA|FW /AN|DTC /DAPAT|VBS /MABIRIK|VBW /SIISAY|NNC,0
/PNO|NNC /SYA|PRS /MAKAKASAKAT|VBW /ITAAS|VBOF,0
habong|JJD/CCP /BUTASAN|NNC /NI|DTP /TOTO|NNP /AN|DTC /ULOD|NNC,0
/HABO|JJD /MAN|RBI butasan|VBTS/VBOF /NI|DTP /TATA|NNC,0
/NAGTINULUDAN|VBTR /NAGBURUTUNGAN|VBTS /NAKAHAWAS|RBD /SINDA|NNC,0
/NAGSAKAT|VBTS /TATA|RBD /IBABAW|JJD /KAN|NNC /GAMOT|NNC /NIN|FW /KAHOY|NNC,0
/AN|DTC /ULOD|JJD /NAPUTOL|VBTS /NABANGA|VBTS /DUWA|NNC,0
/INAY|RBR /NAKAKUA|VBTS /KAMI|PRP /NIN|FW /ULOD|FW,0
maogmang|JJD/CCP /MAGDANGOG|NNC /PARA|CCT /MAKANUOD|VBW,0
