pos_tagged,label
/SENTENCE|NNC,profane
/ADUNA|JJD /KAY|DTP /PILA|NNC /KA|PRS /IGSOON|VBOF,0
/ANG|DTC /MUZZLE|FW /MAOY|FW /TAAS|NNC /UG|NNCA gaspang|VBTS/VBAF /SA|CCT /ISIG|NNC /KA|PRS /KILID|NNC,0
/KON|RBW /GIGUTOM|VBOF /KA|PRS /HALA|NNC /KAON|NNC,0
/UG|NNCA /KINI|FW /SILA|PRP /MIUNA|FW /UG|FW /DIDTO|FW /MAGHULAT|FW /KANAMO|NNC /SA|CCT /TROAS|NNC,0
/ANG|DTC /NAPATAY|VBTS /NA|CCP /IMPERYAL|JJD /NGA|RBI /KALAPATI|NNC /KAY|DTP /ENDEMIK|NNC /SA|CCT /PILIPINAS|NNC,0
/KINSA|JJD imong|VBAF/CCP /KAUBAN|RBD /MAGSELEBRAR|VBW /SA|CCT /PASKO|NNC,0
/SA|CCT /WALAY|FW /DUHADUHA|FW /KAMO|FW /MAO|FW /ANG|DTC /KATAWOHAN|NNC,0
/NANGASAWA|VBTS /SIYA|PRS /UG|NNCA /GWAPA|FW /KAAYO|CCB /NGA|RBI /BABAYE|NNC,0
/SA|CCT /KILID|NNC /SA|CCT /MUNISIPYO|NNC /ANG|DTC /OSPITAL|NNC,0
/KUMUSTA|VBAF /ANG|DTC imong|JJD/CCP /KLASE|NNC /SA|CCT /PRANSES|NNC,0
/ANG|DTC /TANAN|PRI /TAO|NNC /MIBARUG|NNC,0
/SA|CCT /NAHAUNA|VBTS /NGA|RBI /ADLAW|FW /ADUNAY|FW /USA|FW /KA|PRS /BALAAN|VBOF /NGA|RBI /PAGKATIGUM|VBW /WALAY|FW /BISAN|FW /UNSA|FW /NGA|RBI /BULOHATON|VBTF /NGA|RBI /INALAGAD|VBTS /NGA|RBI /PAGABUHATON|VBW /NINYO|PRP,0
maayong|JJD/CCP /PAGBALIK|VBW /GIMINGAW|VBOF /KAAYO|CCB /KAMI|PRP /KANIMO|NNC,0
/WALA|VBN /NA|CCP /AGNAS|NNC /ANG|DTC iyang|NNC/CCP /PATAY|JJD /NA|CCP /LAWAS|FW /MISKAG|FW /PILA|NNC /NA|CCP /KA|PRS /DEKADA|NNC /NI|DTP /NAKA|RBD /LUBONG|NNC,0
/GISUGYOT|VBOF /BA|RBI /NI|DTP /TOM|FW /KADTO|NNC,0
/GIINGON|VBTS /SA|CCT /GOBERNADOR|NNC /NGA|RBI /GUSTO|VBS niyang|PRS/CCP /MAHATAGAN|VBW /OG|FW /HIGAYON|FW /ANG|DTC /MGA|DTCP /ESTUDYANE|NNC,0
/UG|NNCA /ANG|DTC /TIBOOK|NNC /NGA|RBI /KATAWOHAN|RBW /MAGAPATALINGHUG|VBW,0
/KAY|DTP /ANG|DTC /USA|NNC /KA|PRS /TINGOG|VBOF /SA|CCT /PAGMINATAY|NNC /NADUNGOG|VBTS /GIKAN|NNC /SA|CCT /SION|FW /GIUNSA|FW /KITA|NNC /SA|CCT /PAGGUBA|NNC /NANGALIBOG|VBTR /KITA|NNC /SA|CCT /HILABIHAN|JJD /TUNGOD|NNC /KAY|DTP /GIBIYAAN|NNP /TA|NNP /ANG|DTC /YUTA|NNC,0
/GUSTO|VBS nakong|RBD/CCP /MAHIMONG|VBW /PISCASSO|NNC,0
/BUSA|RBR /GIINGNAN|VBOF /KO|PRS /KAMO|JJD /NGA|RBI /MANGAMATAY|VBW /KAMO|JJD /DIHA|NNC /SA|CCT inyong|PRSP/CCP /MGA|DTCP /SALA|NNC,1
/TUNGOD|NNC /SA|CCT /PAGTOO|NNC /SI|DTP /ENOC|FW /GILALIN|FW /NGADTO|FW /SA|CCT /LANGIT|NNC /ARON|NNC /SIYA|PRS /DILI|RBM /MAKATAGAMTAM|VBW /SA|CCT /KAMATAYON|NNC /UG|NNC /SIYA|PRS /WALA|VBN /HIKAPLAGI|VBAF /KAY|DTP /GIKUHA|NNP /MAN|RBI /SIYA|PRS /SA|CCT /DIOS|NNC /SA|CCT /WALA|VBN /PA|RBI /SIYA|PRS /KUHAA|NNC /SIYA|PRS /GIPANGHIMATUDAN|VBTF /NGA|RBI /NAKAPAHIMUOT|VBTS /SA|CCT /DIOS|NNC,0
/UG|NNCA /SI|DTP /ABRAM|FW /DATO|FW /KAAYO|CCB /SA|CCT /KAHAYUPAN|NNC,0
/UNYA|NNC /ANG|DTC /MATAGUSA|VBW /KANILA|PRSP /GIHATAGAN|VBOF /UG|NNCA /MAPUTI|JJD /UG|NNCA /TAGAS|NNC /NGA|RBI /BISTI|FW /UG|FW /GISUGO|FW /SA|CCT /PAGPAHULAY|NNC /UNA|CDB /SA|CCT /MAKADIYOT|VBW,0
/ANG|DTC /KAHIMSOG|NNC /KAY|DTP /BAHANDI|NNC,0
/GINATAGO|VBTS /NIYA|PRS iyang|VBTS/CCP /ULO|NNC /SA|CCT /BUHANGIN|NNC /NGA|RBI /MURA|JJD /UG|NNCA /OSTRICH|FW,0
likayan|VBTS/VBOF /KO|PRS /USA|RBI /UNTA|JJN /ANG|DTC /PAGSUGOD|NNC /SA|CCT /GO|FW /NORTH|FW /MAO|FW /KINI|FW /ANG|DTC /PAGPATAY|NNC /SA|CCT /PANGASINAN|NNC /BROADCASTER|FW /VIRGILIO|FW /MAGANES|FW,1
ginabilin|VBTR/VBOF /NIMO|JJN /KANAKO|NNC /ANG|DTC imong|JJD/CCP /KUTSILYO|NNC,0
/AT|CCA /UMALIS|VBAF /SI|DTP /MOISES|FW /AT|CCA /BUMALIK|VBAF /KAY|DTP /JETHRO|NNP /NA|CCP kanyang|PRSP/CCP /BIYENAN|NNC, 0
/NGUNIT|CCT /NANALO|VBTS /PA|RBI /RIN|RBI /SIYA|PRS, 0
/MIBUDLAT|JJD /ANG|DTC iyang|NNC/CCP /MATA|NNC /SAMA|CCB /SA|CCT /TARSIER|NNC /SA|CCT /KASUKO|NNC,0
/UNSA|FW /MOADTO|FW /BA|FW /TA|FW /UG|FW /DILI|FW,0
/PERMI|FW /RA|FW kang|PRS/CCP /NAGANTOS|VBTS /SA|CCT imong|VBOF/CCP /KALISUD|NNC /KAY|DTP /TAPULAN|NNC /KA|PRS,0
/GIKASUBO|VBOF /PAGAYO|NNC /NI|DTP /JOHN|FW /PAUL|FW /EDRALIN|FW /ANG|DTC /PAGKAMATAY|NNC /SA|CCT /PAGUMANGKON|NNC niyang|PRS/CCP /SI|DTP /STEVEN|FW /O|CCT /BUKNOY|NNC /SA|CCT /USA|NNC /NIYA|PRS /KA|PRS /POST|FW /SA|CCT /SOCIAL|FW /MEDIA|FW,0
